"Time","Value"
2012.58333333333,0.9
2012.66666666667,0.9
2012.75,1.1
2012.83333333333,0.8
2012.91666666667,1
2013,1
2013.08333333333,0.9
2013.16666666667,0.9
2013.25,0.5
2013.33333333333,0.7
2013.41666666667,0.9
2013.5,1.2
2013.58333333333,1.2
2013.66666666667,0.9
2013.75,0.6
2013.83333333333,0.7
2013.91666666667,0.8
2014,0.4
2014.08333333333,0.4
2014.16666666667,0
2014.25,0.5
2014.33333333333,0.4
2014.41666666667,0.8
2014.5,0.6
2014.58333333333,0.5
2014.66666666667,0.3
2014.75,0.6
2014.83333333333,0.6
2014.91666666667,0.5
2015,0.6
2015.08333333333,0.9
2015.16666666667,0.9
2015.25,0.7
2015.33333333333,1
2015.41666666667,0.6
2015.5,0.9
2015.58333333333,0.8
2015.66666666667,1
2015.75,1.1
2015.83333333333,1
2015.91666666667,0.9
2016,1.6
2016.08333333333,1.1
2016.16666666667,1.5
2016.25,1.4
2016.33333333333,1.1
2016.41666666667,1.5
2016.5,1.4
2016.58333333333,1.4
2016.66666666667,1.2
2016.75,1.4
2016.83333333333,1.6
2016.91666666667,1.9
2017,1.6
2017.08333333333,2
2017.16666666667,1.5
2017.25,2
2017.33333333333,1.9
2017.41666666667,1.9
2017.5,2.4
2017.58333333333,2.3
2017.66666666667,2.3
2017.75,1.8
2017.83333333333,2
2017.91666666667,1.9
2018,1.7
2018.08333333333,1.7
2018.16666666667,2
2018.25,1.9
2018.33333333333,2.1
2018.41666666667,2.2
2018.5,2.2
2018.58333333333,2.2
2018.66666666667,2.5
2018.75,2.4
2018.83333333333,2.1
2018.91666666667,2.2
2019,2
2019.08333333333,1.9
2019.16666666667,1.8
2019.25,2
2019.33333333333,2.1
2019.41666666667,1.7
2019.5,1.5
2019.58333333333,1.3
2019.66666666667,1.3
2019.75,1.5
2019.83333333333,1.7
2019.91666666667,1.7
2020,1.2
2020.08333333333,1
2020.16666666667,0.6
2020.25,-0.4
2020.33333333333,0
2020.41666666667,0.7
2020.5,0.5
2020.58333333333,0.7
2020.66666666667,0.3
2020.75,0.3
2020.83333333333,0.2
2020.91666666667,0.5
2021,1.7
2021.08333333333,1.5
2021.16666666667,1.9
2021.25,2.5
2021.33333333333,2.1
2021.41666666667,1.6
2021.5,1.7
2021.58333333333,2.4
2021.66666666667,2.8
2021.75,3.1
2021.83333333333,3.6
2021.91666666667,4.1
2022,3.9
2022.08333333333,4.5
2022.16666666667,6.1
2022.25,6.4
2022.33333333333,7.2
2022.41666666667,8.5
2022.5,8
2022.58333333333,9
2022.66666666667,9.7
2022.75,9.3
2022.83333333333,9.5
2022.91666666667,10.2
2023,9.3
2023.08333333333,9.4
2023.16666666667,8
2023.25,7.6
2023.33333333333,6.7
2023.41666666667,6.4
2023.5,6.4
2023.58333333333,4.7
2023.66666666667,4
2023.75,4.2
2023.83333333333,3.6
2023.91666666667,2.3
2024,3.3
2024.08333333333,2.5
2024.16666666667,2.2
2024.25,2.3
2024.33333333333,2.3
2024.41666666667,1.3
2024.5,1.7
2024.58333333333,1.2
2024.66666666667,1.1
2024.75,1.5
2024.83333333333,1.8
2024.91666666667,1.5
