"Period","Indikator","value"
"2006M07","Övrig trävaruindustri (SNI 16.2)",118.3
"2006M08","Övrig trävaruindustri (SNI 16.2)",110.5
"2006M09","Övrig trävaruindustri (SNI 16.2)",101.5
"2006M10","Övrig trävaruindustri (SNI 16.2)",110.3
"2006M11","Övrig trävaruindustri (SNI 16.2)",109.9
"2006M12","Övrig trävaruindustri (SNI 16.2)",112.7
"2007M01","Övrig trävaruindustri (SNI 16.2)",110.1
"2007M02","Övrig trävaruindustri (SNI 16.2)",113.2
"2007M03","Övrig trävaruindustri (SNI 16.2)",108.6
"2007M04","Övrig trävaruindustri (SNI 16.2)",114.2
"2007M05","Övrig trävaruindustri (SNI 16.2)",111.6
"2007M06","Övrig trävaruindustri (SNI 16.2)",104.9
"2007M07","Övrig trävaruindustri (SNI 16.2)",110.4
"2007M08","Övrig trävaruindustri (SNI 16.2)",107.1
"2007M09","Övrig trävaruindustri (SNI 16.2)",111
"2007M10","Övrig trävaruindustri (SNI 16.2)",110.6
"2007M11","Övrig trävaruindustri (SNI 16.2)",107
"2007M12","Övrig trävaruindustri (SNI 16.2)",98
"2008M01","Övrig trävaruindustri (SNI 16.2)",101.7
"2008M02","Övrig trävaruindustri (SNI 16.2)",99
"2008M03","Övrig trävaruindustri (SNI 16.2)",96.1
"2008M04","Övrig trävaruindustri (SNI 16.2)",96.3
"2008M05","Övrig trävaruindustri (SNI 16.2)",89.5
"2008M06","Övrig trävaruindustri (SNI 16.2)",90.3
"2008M07","Övrig trävaruindustri (SNI 16.2)",83
"2008M08","Övrig trävaruindustri (SNI 16.2)",80
"2008M09","Övrig trävaruindustri (SNI 16.2)",76.1
"2008M10","Övrig trävaruindustri (SNI 16.2)",75
"2008M11","Övrig trävaruindustri (SNI 16.2)",74.3
"2008M12","Övrig trävaruindustri (SNI 16.2)",72.2
"2009M01","Övrig trävaruindustri (SNI 16.2)",75.7
"2009M02","Övrig trävaruindustri (SNI 16.2)",73.2
"2009M03","Övrig trävaruindustri (SNI 16.2)",73.5
"2009M04","Övrig trävaruindustri (SNI 16.2)",79.6
"2009M05","Övrig trävaruindustri (SNI 16.2)",84.9
"2009M06","Övrig trävaruindustri (SNI 16.2)",87.8
"2009M07","Övrig trävaruindustri (SNI 16.2)",95.4
"2009M08","Övrig trävaruindustri (SNI 16.2)",96.5
"2009M09","Övrig trävaruindustri (SNI 16.2)",99.6
"2009M10","Övrig trävaruindustri (SNI 16.2)",99.6
"2009M11","Övrig trävaruindustri (SNI 16.2)",102.5
"2009M12","Övrig trävaruindustri (SNI 16.2)",110.6
"2010M01","Övrig trävaruindustri (SNI 16.2)",109.6
"2010M02","Övrig trävaruindustri (SNI 16.2)",107.1
