"Period","Indikator","value"
"2010M03","Övrig trävaruindustri (SNI 16.2)",102.8
"2010M04","Övrig trävaruindustri (SNI 16.2)",100.3
"2010M05","Övrig trävaruindustri (SNI 16.2)",99.2
"2010M06","Övrig trävaruindustri (SNI 16.2)",98
"2010M07","Övrig trävaruindustri (SNI 16.2)",96.5
"2010M08","Övrig trävaruindustri (SNI 16.2)",97.9
"2010M09","Övrig trävaruindustri (SNI 16.2)",96.7
"2010M10","Övrig trävaruindustri (SNI 16.2)",95.5
"2010M11","Övrig trävaruindustri (SNI 16.2)",95
"2010M12","Övrig trävaruindustri (SNI 16.2)",98.3
"2011M01","Övrig trävaruindustri (SNI 16.2)",100.1
"2011M02","Övrig trävaruindustri (SNI 16.2)",99
"2011M03","Övrig trävaruindustri (SNI 16.2)",96.9
"2011M04","Övrig trävaruindustri (SNI 16.2)",97.6
"2011M05","Övrig trävaruindustri (SNI 16.2)",101.7
"2011M06","Övrig trävaruindustri (SNI 16.2)",97.2
"2011M07","Övrig trävaruindustri (SNI 16.2)",96.3
"2011M08","Övrig trävaruindustri (SNI 16.2)",95.2
"2011M09","Övrig trävaruindustri (SNI 16.2)",93.2
"2011M10","Övrig trävaruindustri (SNI 16.2)",92.6
"2011M11","Övrig trävaruindustri (SNI 16.2)",93
"2011M12","Övrig trävaruindustri (SNI 16.2)",89.2
"2012M01","Övrig trävaruindustri (SNI 16.2)",87.6
"2012M02","Övrig trävaruindustri (SNI 16.2)",90.6
"2012M03","Övrig trävaruindustri (SNI 16.2)",90.1
"2012M04","Övrig trävaruindustri (SNI 16.2)",93.3
"2012M05","Övrig trävaruindustri (SNI 16.2)",89.5
"2012M06","Övrig trävaruindustri (SNI 16.2)",88.8
"2012M07","Övrig trävaruindustri (SNI 16.2)",83.8
"2012M08","Övrig trävaruindustri (SNI 16.2)",88
"2012M09","Övrig trävaruindustri (SNI 16.2)",89.7
"2012M10","Övrig trävaruindustri (SNI 16.2)",91.1
"2012M11","Övrig trävaruindustri (SNI 16.2)",89.7
"2012M12","Övrig trävaruindustri (SNI 16.2)",89.7
"2013M01","Övrig trävaruindustri (SNI 16.2)",93.3
"2013M02","Övrig trävaruindustri (SNI 16.2)",92.1
"2013M03","Övrig trävaruindustri (SNI 16.2)",94.3
"2013M04","Övrig trävaruindustri (SNI 16.2)",97.1
"2013M05","Övrig trävaruindustri (SNI 16.2)",92.1
"2013M06","Övrig trävaruindustri (SNI 16.2)",92.7
"2013M07","Övrig trävaruindustri (SNI 16.2)",95
"2013M08","Övrig trävaruindustri (SNI 16.2)",94.4
"2013M09","Övrig trävaruindustri (SNI 16.2)",95.6
"2013M10","Övrig trävaruindustri (SNI 16.2)",95.4
"2013M11","Övrig trävaruindustri (SNI 16.2)",98.4
"2013M12","Övrig trävaruindustri (SNI 16.2)",100.5
"2014M01","Övrig trävaruindustri (SNI 16.2)",97.2
