"year","observations","income.bracket","age","sex","region","value"
"2011","Mean income, SEK thousands","total","45-49 years","total","Sweden",337.8
"2012","Mean income, SEK thousands","total","45-49 years","total","Sweden",351.4
"2013","Mean income, SEK thousands","total","45-49 years","total","Sweden",360.6
"2014","Mean income, SEK thousands","total","45-49 years","total","Sweden",372
"2015","Mean income, SEK thousands","total","45-49 years","total","Sweden",384.4
"2016","Mean income, SEK thousands","total","45-49 years","total","Sweden",397.6
"2017","Mean income, SEK thousands","total","45-49 years","total","Sweden",409.7
"2018","Mean income, SEK thousands","total","45-49 years","total","Sweden",424.5
"2019","Mean income, SEK thousands","total","45-49 years","total","Sweden",435.8
"2020","Mean income, SEK thousands","total","45-49 years","total","Sweden",444.7
"2021","Mean income, SEK thousands","total","45-49 years","total","Sweden",465.1
"2022","Mean income, SEK thousands","total","45-49 years","total","Sweden",481.8
"2023","Mean income, SEK thousands","total","45-49 years","total","Sweden",498.5
"1999","Median income, SEK thousands","total","45-49 years","total","Sweden",204
"2000","Median income, SEK thousands","total","45-49 years","total","Sweden",211
"2001","Median income, SEK thousands","total","45-49 years","total","Sweden",219.9
"2002","Median income, SEK thousands","total","45-49 years","total","Sweden",228.5
"2003","Median income, SEK thousands","total","45-49 years","total","Sweden",234.6
"2004","Median income, SEK thousands","total","45-49 years","total","Sweden",241
"2005","Median income, SEK thousands","total","45-49 years","total","Sweden",247
"2006","Median income, SEK thousands","total","45-49 years","total","Sweden",255.8
"2007","Median income, SEK thousands","total","45-49 years","total","Sweden",266.5
"2008","Median income, SEK thousands","total","45-49 years","total","Sweden",279.3
"2009","Median income, SEK thousands","total","45-49 years","total","Sweden",287.1
"2010","Median income, SEK thousands","total","45-49 years","total","Sweden",296.3
"2011","Median income, SEK thousands","total","45-49 years","total","Sweden",307.3
"2012","Median income, SEK thousands","total","45-49 years","total","Sweden",319.5
"2013","Median income, SEK thousands","total","45-49 years","total","Sweden",328.8
"2014","Median income, SEK thousands","total","45-49 years","total","Sweden",338.7
"2015","Median income, SEK thousands","total","45-49 years","total","Sweden",350.3
"2016","Median income, SEK thousands","total","45-49 years","total","Sweden",363.4
"2017","Median income, SEK thousands","total","45-49 years","total","Sweden",374.9
"2018","Median income, SEK thousands","total","45-49 years","total","Sweden",387.5
"2019","Median income, SEK thousands","total","45-49 years","total","Sweden",398.5
"2020","Median income, SEK thousands","total","45-49 years","total","Sweden",405.2
"2021","Median income, SEK thousands","total","45-49 years","total","Sweden",420.4
"2022","Median income, SEK thousands","total","45-49 years","total","Sweden",434.8
"2023","Median income, SEK thousands","total","45-49 years","total","Sweden",448.9
"1999","Mean income, SEK thousands","total","50-54 years","total","Sweden",226.7
"2000","Mean income, SEK thousands","total","50-54 years","total","Sweden",235.9
"2001","Mean income, SEK thousands","total","50-54 years","total","Sweden",245.2
"2002","Mean income, SEK thousands","total","50-54 years","total","Sweden",254
"2003","Mean income, SEK thousands","total","50-54 years","total","Sweden",260.5
"2004","Mean income, SEK thousands","total","50-54 years","total","Sweden",267.3
"2005","Mean income, SEK thousands","total","50-54 years","total","Sweden",275.7
"2006","Mean income, SEK thousands","total","50-54 years","total","Sweden",284.1
"2007","Mean income, SEK thousands","total","50-54 years","total","Sweden",295.2
"2008","Mean income, SEK thousands","total","50-54 years","total","Sweden",306.2
"2009","Mean income, SEK thousands","total","50-54 years","total","Sweden",311.5
"2010","Mean income, SEK thousands","total","50-54 years","total","Sweden",318.7
"2011","Mean income, SEK thousands","total","50-54 years","total","Sweden",329.9
"2012","Mean income, SEK thousands","total","50-54 years","total","Sweden",341.6
"2013","Mean income, SEK thousands","total","50-54 years","total","Sweden",350.7
"2014","Mean income, SEK thousands","total","50-54 years","total","Sweden",362.5
"2015","Mean income, SEK thousands","total","50-54 years","total","Sweden",376.9
"2016","Mean income, SEK thousands","total","50-54 years","total","Sweden",390.3
"2017","Mean income, SEK thousands","total","50-54 years","total","Sweden",403.6
"2018","Mean income, SEK thousands","total","50-54 years","total","Sweden",417.6
"2019","Mean income, SEK thousands","total","50-54 years","total","Sweden",430.5
"2020","Mean income, SEK thousands","total","50-54 years","total","Sweden",439.5
"2021","Mean income, SEK thousands","total","50-54 years","total","Sweden",462.1
"2022","Mean income, SEK thousands","total","50-54 years","total","Sweden",483.5
"2023","Mean income, SEK thousands","total","50-54 years","total","Sweden",505.3
"1999","Median income, SEK thousands","total","50-54 years","total","Sweden",206.4
"2000","Median income, SEK thousands","total","50-54 years","total","Sweden",213.6
"2001","Median income, SEK thousands","total","50-54 years","total","Sweden",221.9
"2002","Median income, SEK thousands","total","50-54 years","total","Sweden",230.1
"2003","Median income, SEK thousands","total","50-54 years","total","Sweden",236.4
"2004","Median income, SEK thousands","total","50-54 years","total","Sweden",242.3
"2005","Median income, SEK thousands","total","50-54 years","total","Sweden",248.1
"2006","Median income, SEK thousands","total","50-54 years","total","Sweden",256.2
"2007","Median income, SEK thousands","total","50-54 years","total","Sweden",266.6
"2008","Median income, SEK thousands","total","50-54 years","total","Sweden",278.2
"2009","Median income, SEK thousands","total","50-54 years","total","Sweden",285.2
"2010","Median income, SEK thousands","total","50-54 years","total","Sweden",292.4
"2011","Median income, SEK thousands","total","50-54 years","total","Sweden",301.3
"2012","Median income, SEK thousands","total","50-54 years","total","Sweden",311.4
"2013","Median income, SEK thousands","total","50-54 years","total","Sweden",320.3
"2014","Median income, SEK thousands","total","50-54 years","total","Sweden",330.1
"2015","Median income, SEK thousands","total","50-54 years","total","Sweden",342.3
"2016","Median income, SEK thousands","total","50-54 years","total","Sweden",355.4
"2017","Median income, SEK thousands","total","50-54 years","total","Sweden",367.5
"2018","Median income, SEK thousands","total","50-54 years","total","Sweden",380.1
"2019","Median income, SEK thousands","total","50-54 years","total","Sweden",391.4
"2020","Median income, SEK thousands","total","50-54 years","total","Sweden",398.9
"2021","Median income, SEK thousands","total","50-54 years","total","Sweden",416.5
"2022","Median income, SEK thousands","total","50-54 years","total","Sweden",433
"2023","Median income, SEK thousands","total","50-54 years","total","Sweden",449.6
"1999","Mean income, SEK thousands","total","55-59 years","total","Sweden",220.4
"2000","Mean income, SEK thousands","total","55-59 years","total","Sweden",231.1
"2001","Mean income, SEK thousands","total","55-59 years","total","Sweden",241.1
"2002","Mean income, SEK thousands","total","55-59 years","total","Sweden",249.9
"2003","Mean income, SEK thousands","total","55-59 years","total","Sweden",257.5
"2004","Mean income, SEK thousands","total","55-59 years","total","Sweden",264.8
